Title,File,Start Page,End Page,Key,Composer
African Flower,realbook_hal_6th_Bb.pdf,10,10,Bb,Duke Ellington
Afro Blue,realbook_hal_6th_Bb.pdf,11,11,Bb,Mongo Santamaria
Afternoon In Paris,realbook_hal_6th_Bb.pdf,12,12,Bb,John Lewis
Airegin,realbook_hal_6th_Bb.pdf,13,13,Bb,Sonny Rollins
Agua De Beber,realbook_hal_6th_Bb.pdf,14,15,Bb,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes
Alfie,realbook_hal_6th_Bb.pdf,16,16,Bb,Burt Bacharach/Hal David
Alice In Wonderland,realbook_hal_6th_Bb.pdf,17,17,Bb,Sammy Fain/Bob Hilliard
All Blues,realbook_hal_6th_Bb.pdf,18,18,Bb,Miles Davis
All By Myself,realbook_hal_6th_Bb.pdf,19,19,Bb,Irving Berlin
All Of Me,realbook_hal_6th_Bb.pdf,20,20,Bb,Seymour Simons/Gerald Marks
All Of You,realbook_hal_6th_Bb.pdf,21,21,Bb,Cole Porter
All The Things You Are,realbook_hal_6th_Bb.pdf,22,22,Bb,Jerome Kern/Oscar Hammerstein
Always,realbook_hal_6th_Bb.pdf,23,23,Bb,Irving Berlin
"Alright, Okay, You Win",realbook_hal_6th_Bb.pdf,24,25,Bb,Mayme Watts/Sid Wyche
Ana Maria,realbook_hal_6th_Bb.pdf,26,27,Bb,Wayne Shorter
Angel Eyes,realbook_hal_6th_Bb.pdf,28,28,Bb,Matt Dennis/Earl Brent
Anthropology,realbook_hal_6th_Bb.pdf,29,29,Bb,Charlie Parker/Dizzy Gillespie
Apple Honey,realbook_hal_6th_Bb.pdf,30,31,Bb,Woody Herman
April In Paris,realbook_hal_6th_Bb.pdf,32,32,Bb,Vernon Duke/E. Y. Hrburg
April Joy,realbook_hal_6th_Bb.pdf,33,33,Bb,Pat Metheny
Arise Her Eyes,realbook_hal_6th_Bb.pdf,34,35,Bb,Steve Swallow
Armageddon,realbook_hal_6th_Bb.pdf,36,36,Bb,Wayne Shorter
Au Privave,realbook_hal_6th_Bb.pdf,37,37,Bb,Charlie Parker
Autumn In New York,realbook_hal_6th_Bb.pdf,38,38,Bb,Vernon Duke
Autumn Leaves,realbook_hal_6th_Bb.pdf,39,39,Bb,Joseph Kosma/Johnny Mercer/Jacques Prevert
Beautiful Love,realbook_hal_6th_Bb.pdf,40,40,Bb,Victor Young/Wayne King/Egbert Van Alstyne/Haven Gillespie
Beauty And The Blast,realbook_hal_6th_Bb.pdf,41,41,Bb,Wayne Shorter
Bessie's Blues,realbook_hal_6th_Bb.pdf,42,42,Bb,John Coltrane
