Title,File,Start Page,End Page,Key,Composer
African Flower,realbook_hal_6th_C.pdf,10,10,C,Duke Ellington
Afro Blue,realbook_hal_6th_C.pdf,11,11,C,Mongo Santamaria
Afternoon In Paris,realbook_hal_6th_C.pdf,12,12,C,John Lewis
Airegin,realbook_hal_6th_C.pdf,13,13,C,Sonny Rollins
Agua De Beber,realbook_hal_6th_C.pdf,14,15,C,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes
Alfie,realbook_hal_6th_C.pdf,16,16,C,Burt Bacharach/Hal David
Alice In Wonderland,realbook_hal_6th_C.pdf,17,17,C,Sammy Fain/Bob Hilliard
All Blues,realbook_hal_6th_C.pdf,18,18,C,Miles Davis
All By Myself,realbook_hal_6th_C.pdf,19,19,C,Irving Berlin
All Of Me,realbook_hal_6th_C.pdf,20,20,C,Seymour Simons/Gerald Marks
All Of You,realbook_hal_6th_C.pdf,21,21,C,Cole Porter
All The Things You Are,realbook_hal_6th_C.pdf,22,22,C,Jerome Kern/Oscar Hammerstein
Always,realbook_hal_6th_C.pdf,23,23,C,Irving Berlin
"Alright, Okay, You Win",realbook_hal_6th_C.pdf,24,25,C,Mayme Watts/Sid Wyche
Ana Maria,realbook_hal_6th_C.pdf,26,27,C,Wayne Shorter
Angel Eyes,realbook_hal_6th_C.pdf,28,28,C,Matt Dennis/Earl Brent
Anthropology,realbook_hal_6th_C.pdf,29,29,C,Charlie Parker/Dizzy Gillespie
Apple Honey,realbook_hal_6th_C.pdf,30,31,C,Woody Herman
April In Paris,realbook_hal_6th_C.pdf,32,32,C,Vernon Duke/E. Y. Hrburg
April Joy,realbook_hal_6th_C.pdf,33,33,C,Pat Metheny
Arise Her Eyes,realbook_hal_6th_C.pdf,34,35,C,Steve Swallow
Armageddon,realbook_hal_6th_C.pdf,36,36,C,Wayne Shorter
Au Privave,realbook_hal_6th_C.pdf,37,37,C,Charlie Parker
Autumn In New York,realbook_hal_6th_C.pdf,38,38,C,Vernon Duke
Autumn Leaves,realbook_hal_6th_C.pdf,39,39,C,Joseph Kosma/Johnny Mercer/Jacques Prevert
Beautiful Love,realbook_hal_6th_C.pdf,40,40,C,Victor Young/Wayne King/Egbert Van Alstyne/Haven Gillespie
Beauty And The Blast,realbook_hal_6th_C.pdf,41,41,C,Wayne Shorter
Bessie's Blues,realbook_hal_6th_C.pdf,42,42,C,John Coltrane
Bewitched,realbook_hal_6th_C.pdf,43,43,C,Richard Rodgers/Lorenz Hart
Big Nick,realbook_hal_6th_C.pdf,44,44,C,John Coltrane
Black Coffee,realbook_hal_6th_C.pdf,45,45,C,Paul Francis Webster/Sonny Burke
Black Diamond,realbook_hal_6th_C.pdf,46,46,C,Milton Sealey
Black Narcissus,realbook_hal_6th_C.pdf,47,47,C,Joe Henderson
Black Nile,realbook_hal_6th_C.pdf,48,48,C,Wayne Shorter
Black Orpheus,realbook_hal_6th_C.pdf,49,49,C,Luiz Bonfa
Blue Bossa,realbook_hal_6th_C.pdf,50,50,C,Kenny Durham
Blue In Green,realbook_hal_6th_C.pdf,51,51,C,Miles Davis
Blue Monk,realbook_hal_6th_C.pdf,52,52,C,Thelonious Monk
Blue Room,realbook_hal_6th_C.pdf,53,53,C,Richard Rodgers/Lorenz Hart
Blue Train (Blue Trane),realbook_hal_6th_C.pdf,54,54,C,John Coltrane
Blues For Alice,realbook_hal_6th_C.pdf,55,55,C,Charlie Parker
Bluesette,realbook_hal_6th_C.pdf,56,56,C,Jean Thielemans/Norman Gimbel
Body And Soul,realbook_hal_6th_C.pdf,57,57,C,John Green/Eduoard Heyman/Robert Sear/Frank Eyton
