Title,File,Start Page,End Page,Key,Composer
African Flower,realbook_hal_6th_Eb.pdf,10,10,Eb,Duke Ellington
Afro Blue,realbook_hal_6th_Eb.pdf,11,11,Eb,Mongo Santamaria
Afternoon In Paris,realbook_hal_6th_Eb.pdf,12,12,Eb,John Lewis
Airegin,realbook_hal_6th_Eb.pdf,13,13,Eb,Sonny Rollins
Agua De Beber,realbook_hal_6th_Eb.pdf,14,15,Eb,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes
Alfie,realbook_hal_6th_Eb.pdf,16,16,Eb,Burt Bacharach/Hal David
Alice In Wonderland,realbook_hal_6th_Eb.pdf,17,17,Eb,Sammy Fain/Bob Hilliard
All Blues,realbook_hal_6th_Eb.pdf,18,18,Eb,Miles Davis
All By Myself,realbook_hal_6th_Eb.pdf,19,19,Eb,Irving Berlin
All Of Me,realbook_hal_6th_Eb.pdf,20,20,Eb,Seymour Simons/Gerald Marks
All Of You,realbook_hal_6th_Eb.pdf,21,21,Eb,Cole Porter
All The Things You Are,realbook_hal_6th_Eb.pdf,22,22,Eb,Jerome Kern/Oscar Hammerstein
Always,realbook_hal_6th_Eb.pdf,23,23,Eb,Irving Berlin
"Alright, Okay, You Win",realbook_hal_6th_Eb.pdf,24,25,Eb,Mayme Watts/Sid Wyche
Ana Maria,realbook_hal_6th_Eb.pdf,26,27,Eb,Wayne Shorter
Angel Eyes,realbook_hal_6th_Eb.pdf,28,28,Eb,Matt Dennis/Earl Brent
Anthropology,realbook_hal_6th_Eb.pdf,29,29,Eb,Charlie Parker/Dizzy Gillespie
Apple Honey,realbook_hal_6th_Eb.pdf,30,31,Eb,Woody Herman
April In Paris,realbook_hal_6th_Eb.pdf,32,32,Eb,Vernon Duke/E. Y. Hrburg
April Joy,realbook_hal_6th_Eb.pdf,33,33,Eb,Pat Metheny
Arise Her Eyes,realbook_hal_6th_Eb.pdf,34,35,Eb,Steve Swallow
Armageddon,realbook_hal_6th_Eb.pdf,36,36,Eb,Wayne Shorter
Au Privave,realbook_hal_6th_Eb.pdf,37,37,Eb,Charlie Parker
Autumn In New York,realbook_hal_6th_Eb.pdf,38,38,Eb,Vernon Duke
Autumn Leaves,realbook_hal_6th_Eb.pdf,39,39,Eb,Joseph Kosma/Johnny Mercer/Jacques Prevert
Beautiful Love,realbook_hal_6th_Eb.pdf,40,40,Eb,Victor Young/Wayne King/Egbert Van Alstyne/Haven Gillespie
Beauty And The Blast,realbook_hal_6th_Eb.pdf,41,41,Eb,Wayne Shorter
Bessie's Blues,realbook_hal_6th_Eb.pdf,42,42,Eb,John Coltrane
Bewitched,realbook_hal_6th_Eb.pdf,43,43,Eb,Richard Rodgers/Lorenz Hart
Big Nick,realbook_hal_6th_Eb.pdf,44,44,Eb,John Coltrane
Black Coffee,realbook_hal_6th_Eb.pdf,45,45,Eb,Paul Francis Webster/Sonny Burke
Black Diamond,realbook_hal_6th_Eb.pdf,46,46,Eb,Milton Sealey
Black Narcissus,realbook_hal_6th_Eb.pdf,47,47,Eb,Joe Henderson
Black Nile,realbook_hal_6th_Eb.pdf,48,48,Eb,Wayne Shorter
Black Orpheus,realbook_hal_6th_Eb.pdf,49,49,Eb,Luiz Bonfa
Blue Bossa,realbook_hal_6th_Eb.pdf,50,50,Eb,Kenny Durham
Blue In Green,realbook_hal_6th_Eb.pdf,51,51,Eb,Miles Davis
Blue Monk,realbook_hal_6th_Eb.pdf,52,52,Eb,Thelonious Monk
Blue Room,realbook_hal_6th_Eb.pdf,53,53,Eb,Richard Rodgers/Lorenz Hart
Blue Train (Blue Trane),realbook_hal_6th_Eb.pdf,54,54,Eb,John Coltrane
Blues For Alice,realbook_hal_6th_Eb.pdf,55,55,Eb,Charlie Parker
Bluesette,realbook_hal_6th_Eb.pdf,56,56,Eb,Jean Thielemans/Norman Gimbel
Body And Soul,realbook_hal_6th_Eb.pdf,57,57,Eb,John Green/Eduoard Heyman/Robert Sear/Frank Eyton
Boplicity,realbook_hal_6th_Eb.pdf,58,58,Eb,Miles David/Gil Evans
Bright Size Life,realbook_hal_6th_Eb.pdf,59,59,Eb,Pat Metheny
Broad Way Blues,realbook_hal_6th_Eb.pdf,60,60,Eb,Ornette Coleman
Broadway,realbook_hal_6th_Eb.pdf,61,61,Eb,Bill Byrd/Teddy McRae/Henri Wood
But Beautiful,realbook_hal_6th_Eb.pdf,62,62,Eb,Jimmy Van Heusen/Johnny Burke
Butterfly,realbook_hal_6th_Eb.pdf,63,63,Eb,Herbie Hancock/Bennie Maupin
Byrd Like,realbook_hal_6th_Eb.pdf,64,64,Eb,Freddie Hubbard
C'est Si Bon (It's So Good),realbook_hal_6th_Eb.pdf,65,65,Eb,Henri Betti/Jerry Serlen/Andre Hornez
Call Me,realbook_hal_6th_Eb.pdf,66,66,Eb,Tony Hatch
Call Me Irresponsible,realbook_hal_6th_Eb.pdf,67,67,Eb,James Van Heusen/Sammy Cahn
Can't Help Lovin' Dat Man,realbook_hal_6th_Eb.pdf,68,68,Eb,Jerome Kern/Oscar Hammerstein
Central Park West,realbook_hal_6th_Eb.pdf,69,69,Eb,John Coltrane
Captain Marvel,realbook_hal_6th_Eb.pdf,70,71,Eb,Chick Corea
Ceora,realbook_hal_6th_Eb.pdf,72,72,Eb,Lee Morgan
Chelsea Bells,realbook_hal_6th_Eb.pdf,73,73,Eb,Steve Swallow
Chega De Saudade (No More Blues),realbook_hal_6th_Eb.pdf,74,75,Eb,Antonio Carlos Jobim/Vinicius De Moraes
Chelsea Bridge,realbook_hal_6th_Eb.pdf,76,76,Eb,Billy Strayhorn
Cherokee,realbook_hal_6th_Eb.pdf,77,77,Eb,Ray Noble
Cherry Pink And Apple Blossom White,realbook_hal_6th_Eb.pdf,78,78,Eb,Lou I Guyu/Lacome Larne/Mack David
Child Is Born,realbook_hal_6th_Eb.pdf,79,79,Eb,Thad Jones
Chippie,realbook_hal_6th_Eb.pdf,80,80,Eb,Ornette Coleman
Chitlens Con Carne,realbook_hal_6th_Eb.pdf,81,81,Eb,Kenny Burrell
Come Sunday,realbook_hal_6th_Eb.pdf,82,82,Eb,Duke Ellington
Como En Vietnam,realbook_hal_6th_Eb.pdf,83,83,Eb,Steve Swallow
Con Alma,realbook_hal_6th_Eb.pdf,84,85,Eb,Dizzy Gillespie
Conception,realbook_hal_6th_Eb.pdf,86,86,Eb,George Shearing
Confirmation,realbook_hal_6th_Eb.pdf,87,87,Eb,Charlie Parker
Contemplation,realbook_hal_6th_Eb.pdf,88,88,Eb,McCoy Tyner
Coral,realbook_hal_6th_Eb.pdf,89,89,Eb,Keith Jarrett
Cottontail,realbook_hal_6th_Eb.pdf,90,90,Eb,Duke Ellington
Could It Be You,realbook_hal_6th_Eb.pdf,91,91,Eb,Cole Porter
Countdown,realbook_hal_6th_Eb.pdf,92,92,Eb,John Coltrane
